,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,SDE
County,Precinct,,,,,,,,,,,,,,,
Black Hawk,Bennington,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Black Hawk,Big Creek La Porte,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0,True
Black Hawk,Poyner P2 Fox Gilbert Jesup,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0,True
Black Hawk,Spring Creek,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Black Hawk,WL 2-5,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0,True
Black Hawk,WL 5-4,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0,True
Boone,Boone 3rd Ward,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0,True
Boone,Boone 5th Ward,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0,True
Bremer,CITY OF READLYN- MAXFIELD & FRANKLIN TWP,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0,True
Bremer,LAFAYETTE TWP/WARREN TWPS,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0,True
Buena Vista,NEWELL NEWELL PROVIDENCE,0,0.0,0.0,0.2,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0,True
Butler,7-PB,0,0.2333,0.0,0.2333,0,0.0,0.2333,0,0.2333,0.0,0.2333,0.0,0.0,0.0,True
CD1 Satellite,"Marshalltown, IA - UAW Local 893",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD2 Satellite,"Centerville, IA - Centerville Speciality Care",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD2 Satellite,"Ottumwa, IA - UAW Local 74",0,0.0,0.0,0.0,0,0.0,0.0,0,0.175,0.0,0.0,0.0,0.0,0.0,True
CD2 Satellite,"Ottumwa, IA - UFCW Local 230",0,0.0,0.0,0.0,0,0.0,0.0,0,0.175,0.0,0.0,0.0,0.0,0.0,True
CD4 Satellite,"Manson, IA - Good Samaritan Society - Manson",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
CD4 Satellite,"Storm Lake, IA - Methodist Manor",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Calhoun,Greenfield & Lincoln 2,0,0.0,0.0,0.1667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Calhoun,Lincoln 1,0,0.1667,0.0,0.3333,0,0.0,0.1667,0,0.1667,0.0,0.0,0.0,0.0,0.0,True
Calhoun,Union,0,0.0,0.0,0.1667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cass,Brighton- Grove- Pymosa- Washington Twp/Marne,0,0.12,0.0,0.12,0,0.0,0.12,0,0.0,0.0,0.12,0.0,0.0,0.0,True
Cass,Enda- Victoria Twp,0,0.0,0.0,0.12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cass,Union Twp/Cumberland,0,0.0,0.0,0.0,0,0.0,0.0,0,0.12,0.0,0.0,0.0,0.0,0.0,True
Cedar,FREMONT/RED OAK,0,0.1714,0.0,0.0,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Cedar,GOWER/SPRINGDALE,0,0.3429,0.0,0.3429,0,0.0,0.1714,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Cedar,LINN/PIONEER,0,0.3429,0.0,0.3429,0,0.0,0.1714,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Cedar,MASSILLON/SPRINGFIELD,0,0.1714,0.0,0.1714,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Cedar,TIPTON 1,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,True
Cedar,TIPTON 2,0,0.1714,0.0,0.1714,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Cerro Gordo,Lake / Lincoln Twps Pct,0,0.0,0.0,0.1771,0,0.0,0.0,0,0.0,0.0,0.1771,0.0,0.0,0.0,True
Cerro Gordo,Lime Creek / Mason N Twps,0,0.0,0.0,0.1771,0,0.0,0.1771,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cerro Gordo,Mason S / Bath Twps,0,0.0,0.0,0.1771,0,0.0,0.0,0,0.0,0.0,0.1771,0.0,0.0,0.0,True
Cerro Gordo,Mt Vernon - Pl Valley Twps,0,0.0,0.0,0.1771,0,0.0,0.1771,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cherokee,#6 Cherokee Ward 2,0,0.1091,0.0,0.2182,0,0.0,0.0,0,0.4364,0.0,0.0,0.0,0.0,0.0,True
Cherokee,#7 Cherokee Ward 3,0,0.1091,0.0,0.2182,0,0.0,0.0,0,0.4364,0.0,0.0,0.0,0.0,0.0,True
Clayton,BUENA VISTA,0,0.0,0.0,0.1667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clayton,CASS,0,0.1667,0.0,0.3333,0,0.0,0.1667,0,0.1667,0.0,0.0,0.0,0.0,0.0,True
Clayton,COX CREEK-SPERRY,0,0.0,0.0,0.1667,0,0.0,0.1667,0,0.0,0.0,0.1667,0.0,0.0,0.0,True
Clayton,MARION,0,0.0,0.0,0.1667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clayton,READ,0,0.0,0.0,0.1667,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,EDEN CAMANCHE TWP,0,0.0,0.0,0.0,0,0.0,0.2214,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,LIBERTY TORONTO,0,0.0,0.0,0.0,0,0.0,0.2214,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,LOW MOOR,0,0.0,0.0,0.2214,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,ORANGE GRAND MOUND,0,0.2214,0.0,0.2214,0,0.0,0.0,0,0.2214,0.0,0.0,0.0,0.0,0.0,True
Clinton,SHARON LOST NATION,0,0.0,0.0,0.2214,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,SPRING ROCK WHEATLAND,0,0.2214,0.0,0.2214,0,0.0,0.0,0,0.2214,0.0,0.0,0.0,0.0,0.0,True
Clinton,WATERFORD CHARLOTTE,0,0.0,0.0,0.2214,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Clinton,WELTON WASHINGTON WELTON,0,0.2214,0.0,0.2214,0,0.0,0.0,0,0.2214,0.0,0.0,0.0,0.0,0.0,True
Crawford,SRK,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Dallas,ADEL 2,0,0.4143,0.0,0.4143,0,0.0,0.0,0,0.4143,0.0,0.4143,0.0,0.0,0.0,True
Dallas,BEAVER / DES MOINES,0,0.4143,0.0,0.4143,0,0.0,0.4143,0,0.4143,0.0,0.0,0.0,0.0,0.0,True
Dallas,CLIVE 5,0,0.4143,0.0,0.8286,0,0.0,0.0,0,0.0,0.0,0.8286,0.0,0.0,0.0,True
Dallas,DESOTO,0,0.0,0.0,0.4143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Dallas,PERRY 1,0,0.4143,0.0,0.4143,0,0.0,0.0,0,0.4143,0.0,0.4143,0.0,0.0,0.0,True
Dallas,SUGAR GROVE / DALLAS CENTER,0,0.4143,0.0,0.4143,0,0.0,0.4143,0,0.4143,0.0,0.0,0.0,0.0,0.0,True
Dallas,URBANDALE 14,0,0.4143,0.0,0.8286,0,0.0,0.4143,0,0.0,0.0,0.4143,0.0,0.0,0.0,True
Dallas,VAN METER,0,0.4143,0.0,0.4143,0,0.0,0.4143,0,0.4143,0.0,0.0,0.0,0.0,0.0,True
Dallas,WAUKEE 4,0,0.4143,0.0,0.8286,0,0.0,0.4143,0,0.0,0.0,0.4143,0.0,0.0,0.0,True
Dallas,WAUKEE 5,0,0.4143,0.0,0.8286,0,0.0,0.0,0,0.0,0.0,0.8286,0.0,0.0,0.0,True
Dallas,WEST DES MOINES 224,0,0.0,0.0,0.4143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Davis,Central,0,0.12,0.0,0.12,0,0.0,0.12,0,0.0,0.0,0.12,0.0,0.0,0.0,True
Decatur,BU/HA/MO/NB/Davis City/Pleasanton,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True
Decatur,DE/Decatur City,0,0.0,0.0,0.0471,0,0.0,0.0471,0,0.0471,0.0,0.0471,0.0,0.0,0.0,True
Delaware,Delaware,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Des Moines,PCT 7,0,0.36,0.0,0.72,0,0.0,0.0,0,0.72,0.0,0.36,0.0,0.0,0.0,True
Des Moines,PCT WB,0,0.36,0.0,0.72,0,0.0,0.0,0,0.72,0.0,0.36,0.0,0.0,0.0,True
Dubuque,Dubuque_02,0,0.8,0.0,1.0667,0,0.0,0.5333,0,0.0,0.0,0.8,0.0,0.0,0.0,True
Dubuque,Dubuque_31,0,0.8,0.0,1.0667,0,0.0,0.5333,0,0.0,0.0,0.8,0.0,0.0,0.0,True
Emmet,EL-LN-Dolliver,0,0.0,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Emmet,HL-TM-Wallingford,0,0.1143,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Fayette,BETHEL-WINDSOR TWP,0,0.12,0.0,0.12,0,0.0,0.0,0,0.12,0.0,0.12,0.0,0.0,0.0,True
Fayette,CENTER TWP,0,0.0,0.0,0.12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Fayette,JEFFERSON TWP,0,0.12,0.0,0.12,0,0.0,0.0,0,0.0,0.0,0.12,0.0,0.0,0.0,True
Fayette,SCOTT TWP,0,0.0,0.0,0.0,0,0.0,0.0,0,0.12,0.0,0.0,0.0,0.0,0.0,True
Fayette,WEST UNION - WARD 3,0,0.12,0.0,0.12,0,0.0,0.0,0,0.12,0.0,0.12,0.0,0.0,0.0,True
Hamilton,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,0,0.2,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,True
Hancock,Precinct 01,0,0.1,0.0,0.2,0,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0.0,True
Hancock,Precinct 02,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,True
Hancock,Precinct 03,0,0.1,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Hancock,Precinct 05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,True
Hancock,Precinct 08,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,True
Hancock,Precinct 10,0,0.0,0.0,0.1,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,True
Henry,Mt. Pleasant Ward 4,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True
Henry,Northeast Precinct,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True
Humboldt,Humboldt-West Vernon,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Humboldt,North Lake-East Vernon,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Humboldt,South Lake-North Norway,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,City of Arthur,0,0.0,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 1,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 2,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Ida,Ida Grove Ward 3,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 06,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 12,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,True
Jackson,Jackson 13,0,0.1714,0.0,0.0,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Jackson,Jackson 14,0,0.1714,0.0,0.1714,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,True
Jefferson,Blackhawk-Polk-Packwood,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,True
Jefferson,Locust Grove-Batavia,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,True
Johnson,CEDAR TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,CORALVILLE 01,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,CORALVILLE 03,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,CORALVILLE 04,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,CORALVILLE 05,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,FREMONT-LINCOLN (INCLUDES,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,GRAHAM TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,HARDIN TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Johnson,IOWA CITY 03,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 05,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 09,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 10/ELSW,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,True
Johnson,IOWA CITY 12/EAST LUCAS SE,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 17,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,True
Johnson,IOWA CITY 18,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,True
Johnson,IOWA CITY 19,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,IOWA CITY 20,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,True
Johnson,JW/MN/SW,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,SCOTT TWP-WEST BRANCH,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,SHARON TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,True
Johnson,UNIVERSITY HEIGHTS,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,True
Johnson,WASHINGTON TOWNSHIP,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,True
Jones,GF-GREENFIELD,0,0.0,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,MN3-MONTICELLO 3,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,MN4-MONTICELLO 4,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Jones,ROHA-ROME/HALE,0,0.16,0.0,0.32,0,0.0,0.0,0,0.32,0.0,0.0,0.0,0.0,0.0,True
Jones,SGMC-SC GRV/MADISON/CLAY,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,True
Keokuk,East/West Lancaster,0,0.0,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Richland,0,0.1143,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Sigourney 3rd Ward,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keokuk,Sigourney 4th Ward,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,CR 1,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,CR 2,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,IV- PC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,LC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,PC,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kossuth,UN,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Boulder,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Brown,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Buffalo,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Cedar Rapids 01,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 02,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 04,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 06,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 07,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 08,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 09,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 13,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 15,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 18,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 20,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 28,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 29,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 30,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 31,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 32,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 33,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 35,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 36,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 37,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 39,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,True
Linn,Cedar Rapids 41,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 42,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Cedar Rapids 43,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,College,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Fairfax City,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Fairfax Township,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Fayette,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Grant,0,0.4395,0.0,0.0,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Hiawatha 3,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Hiawatha4,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Jackson,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Maine,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Marion 04,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 06,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 07,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 08,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 09,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 10,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 12,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Marion 13,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
