,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,Total,0,36,0,34,0,0,50,0,45,8,28,28,0,0,0,22,0,41,0,0,56,0,53,7,18,29,0,0
Adams,Total,0,30,0,18,0,0,23,0,21,0,16,0,0,0,0,31,0,18,0,0,24,0,19,0,15,0,0,0
Allamakee,Total,1,55,0,138,0,1,75,0,67,28,48,35,0,4,0,42,0,159,0,0,97,0,74,9,37,23,2,4
Appanoose,Total,0,86,0,122,0,1,32,0,63,15,35,4,0,2,0,102,0,143,0,0,24,0,59,12,7,4,0,8
Audubon,Total,0,45,0,31,0,0,42,0,31,11,32,9,0,2,0,61,0,31,0,0,55,0,35,0,21,0,0,0
Benton,Total,0,226,0,194,0,3,93,0,159,22,94,17,1,4,0,245,0,228,0,0,82,0,179,0,65,1,0,3
Black Hawk,Total,2,1012,5,1390,0,22,805,1,1935,193,1218,310,3,25,0,980,0,1588,0,0,748,0,2125,43,1235,43,2,14
Boone,Total,3,148,1,363,0,0,178,0,305,38,235,79,0,6,0,107,2,436,0,0,172,0,339,18,257,14,0,6
Bremer,Total,0,210,0,369,0,1,196,0,189,24,247,47,0,9,0,195,0,412,0,0,195,0,170,8,288,1,2,18
Buchanan,Total,0,194,0,177,0,1,106,0,97,10,69,44,0,9,0,204,0,176,0,0,111,0,77,9,49,30,1,34
Buena Vista,Total,0,85,0,79,0,0,35,0,96,13,69,54,0,1,0,88,0,74,0,0,38,0,105,9,70,34,0,0
Butler,Total,0,87,0,77,0,1,65,0,103,4,69,14,0,8,0,86,0,83,0,0,67,0,109,0,68,10,0,5
CD1 Satellite,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD2 Satellite,Total,0,82,4,68,0,0,83,0,466,8,149,57,1,23,0,56,0,4,0,0,102,0,469,0,179,72,22,20
CD3 Satellite,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4 Satellite,Total,0,13,1,12,0,0,10,0,91,2,2,6,0,2,0,8,1,7,0,0,10,0,94,3,1,4,0,1
Calhoun,Total,0,51,1,87,0,1,30,0,35,1,44,4,0,1,0,51,0,101,0,0,28,0,37,0,34,0,0,3
Carroll,Total,0,155,1,161,0,0,113,0,92,6,70,17,0,9,0,158,1,198,0,0,120,0,87,0,51,7,0,1
Cass,Total,0,79,1,92,0,0,54,0,63,2,71,10,0,4,0,83,0,99,0,0,52,0,62,0,75,0,0,2
Cedar,Total,1,103,2,196,0,2,128,0,196,12,156,14,0,5,0,89,0,195,0,0,149,0,198,0,154,0,0,0
Cerro Gordo,Total,0,305,7,416,0,5,370,0,354,15,166,112,0,6,0,312,0,510,0,0,410,0,366,1,101,16,0,11
Cherokee,Total,0,50,0,37,0,0,31,0,54,6,11,11,0,1,0,60,0,39,0,0,26,0,53,4,8,11,0,1
Chickasaw,Total,0,85,1,107,0,0,53,0,36,27,61,9,0,10,0,89,0,126,0,0,57,0,25,17,67,0,0,6
Clarke,Total,0,40,0,58,0,0,38,0,56,8,33,22,0,0,0,31,0,63,0,0,60,0,58,0,16,26,0,0
Clay,Total,1,116,1,102,0,0,84,0,104,2,72,20,0,0,0,127,0,116,0,0,92,0,101,0,49,6,0,1
Clayton,Total,0,98,0,199,0,1,101,0,98,19,56,3,1,7,0,92,0,211,0,0,127,0,110,0,18,0,0,11
Clinton,Total,0,364,7,384,0,4,197,0,376,53,232,91,0,15,0,406,4,468,0,0,177,0,415,16,170,18,0,10
Crawford,Total,0,103,0,52,0,1,29,0,90,4,20,27,0,3,0,120,0,53,0,0,34,0,83,0,17,21,0,0
Dallas,Total,4,1061,6,1639,0,2,759,0,913,60,1041,289,7,23,0,1085,1,1926,0,0,655,0,840,4,1159,48,0,10
Davis,Total,0,54,1,50,0,1,28,0,30,4,22,2,0,0,0,56,0,58,0,1,26,0,22,0,29,1,0,0
Decatur,Total,1,36,0,76,0,3,47,0,67,8,71,10,2,1,0,17,0,82,0,0,65,0,78,0,77,0,2,1
Delaware,Total,0,101,0,97,0,0,84,0,41,27,79,1,0,3,0,90,0,110,0,0,100,0,19,9,90,0,0,6
Des Moines,Total,3,298,0,448,0,4,120,0,317,28,227,90,2,14,0,294,0,536,0,0,63,0,331,0,229,40,0,14
Dickinson,Total,0,146,0,178,0,0,111,0,109,13,91,18,0,0,0,158,0,199,0,0,118,0,118,0,57,7,0,4
Dubuque,Total,1,1006,4,1117,0,20,532,0,1059,70,744,202,4,23,0,1083,0,1338,0,1,393,0,1016,1,757,27,6,26
Emmet,Total,1,39,0,47,0,0,45,0,61,23,27,5,0,4,0,31,0,66,0,0,39,0,58,25,28,0,0,0
Fayette,Total,0,149,0,222,0,2,87,0,111,25,98,30,0,7,0,153,0,258,0,0,82,0,103,14,89,7,0,6
Floyd,Total,0,115,2,122,0,0,117,0,78,5,92,21,0,5,0,110,0,133,0,0,132,0,81,0,91,0,0,6
Franklin,Total,0,46,0,61,0,0,37,0,63,7,27,7,0,0,0,45,0,65,0,0,39,0,72,3,19,3,0,0
Fremont,Total,1,39,0,46,0,0,35,0,36,0,22,1,0,2,0,44,0,51,0,0,39,0,44,0,4,0,0,0
Greene,Total,2,54,1,99,0,0,62,0,82,10,34,15,0,3,0,53,0,112,0,0,76,0,94,5,16,2,0,0
Grundy,Total,0,63,0,86,0,3,58,1,75,11,41,22,0,8,0,74,0,99,0,0,65,0,90,0,23,6,0,4
Guthrie,Total,1,51,0,76,0,0,80,0,43,12,65,14,1,5,0,36,0,82,0,0,90,0,30,0,71,29,0,1
Hamilton,Total,0,99,1,147,0,0,77,0,91,12,103,4,1,8,0,107,0,162,0,0,74,0,95,0,101,0,0,2
Hancock,Total,0,38,0,77,0,0,61,0,47,2,29,10,2,0,0,41,0,85,0,0,70,0,44,0,20,0,0,1
Hardin,Total,0,94,0,115,0,0,78,0,69,11,69,12,0,0,0,96,0,125,0,0,75,0,68,0,82,0,0,2
Harrison,Total,0,68,0,95,0,0,59,0,90,2,53,13,0,5,0,70,0,100,0,0,60,0,98,0,48,0,0,1
Henry,Total,1,112,2,155,0,2,50,0,146,10,95,84,0,3,0,117,0,171,0,0,51,0,143,0,86,78,0,0
Howard,Total,0,37,0,74,0,0,44,0,46,4,28,37,0,0,0,37,0,86,0,0,39,0,49,4,21,24,0,0
Humboldt,Total,0,60,2,60,0,0,44,0,25,5,23,3,0,4,0,67,0,57,0,0,51,0,24,0,21,1,0,0
Ida,Total,0,42,0,42,0,0,25,0,22,4,10,1,0,1,0,48,0,58,0,0,25,0,12,0,1,0,0,1
Iowa,Total,0,122,1,145,0,2,76,0,168,20,145,21,0,1,0,131,0,171,0,1,38,0,173,0,170,0,0,1
Jackson,Total,0,178,1,231,0,2,102,0,119,9,103,21,0,15,0,194,0,256,0,0,90,0,85,8,111,14,1,9
Jasper,Total,0,255,3,412,0,6,159,0,288,42,209,70,5,10,0,278,0,476,0,0,113,0,308,17,207,33,0,6
Jefferson,Total,0,176,8,184,0,12,105,0,751,31,358,122,0,5,0,73,0,177,0,0,86,0,826,0,463,0,2,5
Johnson,Total,16,1748,5,3365,0,35,2172,3,5936,176,5547,1217,15,57,0,604,0,3718,0,0,1954,0,6216,7,6361,22,2,199
Jones,Total,0,120,0,143,0,6,94,0,128,14,78,13,0,3,0,127,0,169,0,0,95,0,133,0,66,0,0,4
Keokuk,Total,0,47,3,77,0,2,40,0,61,2,28,10,0,1,0,31,0,84,0,2,39,0,52,2,35,7,0,5
Kossuth,Total,1,120,1,140,0,0,83,0,54,15,34,4,0,3,0,127,0,157,0,0,94,0,37,7,27,0,0,1
Lee,Total,2,256,0,358,0,3,63,0,226,18,134,71,1,15,0,261,0,388,0,0,65,0,236,0,128,40,0,17
Linn,Total,12,2275,14,2872,0,31,1905,0,3699,187,2812,602,17,85,1,2129,0,3375,0,1,1639,0,3825,4,3036,29,31,118
Louisa,Total,0,50,0,55,0,0,26,0,69,8,49,47,0,2,0,60,0,49,0,0,22,0,71,0,59,42,0,3
Lucas,Total,0,49,0,23,0,0,28,0,39,8,16,6,0,0,0,49,0,21,0,0,28,0,39,7,17,6,0,0
Lyon,Total,0,16,0,19,0,0,36,0,19,0,34,0,0,0,0,15,0,17,0,0,41,0,20,0,29,0,0,2
Madison,Total,3,127,0,213,0,8,110,0,113,21,118,14,5,8,0,137,0,235,0,0,109,0,102,0,139,0,0,18
Mahaska,Total,0,82,0,136,0,0,49,0,156,7,101,85,0,8,0,74,0,153,0,0,58,0,164,0,99,57,0,5
Marion,Total,0,184,2,390,0,1,202,0,234,11,161,77,0,12,0,161,0,476,0,0,184,0,242,0,144,46,0,0
Marshall,Total,5,261,1,340,0,1,139,0,439,31,187,35,1,6,0,266,0,421,0,0,59,0,489,6,147,1,0,40
Mills,Total,0,69,1,115,0,1,49,0,101,7,59,11,0,1,0,75,0,138,0,0,40,0,107,0,50,0,0,0
Mitchell,Total,0,49,0,61,0,1,90,0,29,7,41,17,0,3,0,56,0,58,0,0,106,0,24,0,39,12,0,0
Monona,Total,1,36,0,50,0,0,27,0,29,13,46,1,0,4,0,42,0,55,0,0,27,0,32,10,47,0,0,3
Monroe,Total,0,31,0,38,0,0,20,0,28,7,21,6,0,0,0,29,0,43,0,0,22,0,30,5,18,0,0,0
Montgomery,Total,0,42,4,75,0,0,41,0,52,7,27,6,0,2,0,45,0,91,0,0,36,0,50,6,27,0,0,1
Muscatine,Total,4,262,1,396,0,6,130,0,489,26,244,80,2,11,0,264,0,435,0,1,113,0,527,3,252,15,0,7
O'Brien,Total,0,54,0,46,0,0,57,0,41,4,41,3,0,2,0,51,0,50,0,0,54,0,39,9,31,3,1,9
Osceola,Total,0,13,1,21,0,0,13,0,10,0,12,0,0,0,0,11,0,23,0,0,14,0,8,0,14,0,0,0
Out of State Satellite,Total,3,182,18,217,0,2,295,1,187,6,248,23,1,3,0,199,9,224,0,0,304,0,172,0,247,7,2,16
Page,Total,0,49,0,103,0,3,69,0,97,9,55,16,0,4,0,57,0,120,0,0,78,0,108,0,34,7,0,0
Palo Alto,Total,0,59,1,50,0,0,35,0,32,1,26,4,0,2,0,64,0,56,0,0,26,0,43,0,23,0,0,2
Plymouth,Total,0,131,1,131,0,0,75,0,129,11,43,39,0,7,0,142,0,162,0,0,70,0,131,0,37,13,0,10
Pocahontas,Total,0,40,0,40,0,2,35,0,29,3,18,11,0,2,0,38,0,56,0,0,40,0,23,0,14,7,0,2
Polk,Total,39,4998,45,7716,9,67,4334,1,8818,681,6984,1683,55,158,0,4606,0,9400,0,4,3638,0,9411,14,7900,23,90,185
Pottawattamie,Total,0,443,25,563,0,4,381,1,676,45,467,172,3,10,0,352,0,690,0,0,350,0,729,16,471,114,1,30
Poweshiek,Total,1,105,1,207,0,3,181,0,634,13,514,91,3,15,0,27,0,142,0,0,170,0,686,0,590,0,3,137
Ringgold,Total,0,43,0,30,0,0,24,0,5,5,14,1,0,1,0,46,0,32,0,0,19,0,7,0,17,0,0,4
Sac,Total,0,38,0,57,0,1,38,0,30,4,25,5,0,1,0,29,0,63,0,0,40,0,41,0,20,3,0,1
Scott,Total,6,1258,7,1665,0,4,1065,0,1888,137,1311,415,3,54,0,1135,0,2073,0,0,1002,0,2000,6,1312,86,4,24
Shelby,Total,0,42,0,75,0,0,54,0,41,2,45,2,0,5,0,41,0,84,0,0,55,0,42,0,40,1,0,3
Sioux,Total,0,51,0,68,0,0,120,0,61,1,114,64,1,2,0,41,0,62,0,0,137,0,42,0,138,56,0,2
Story,Total,5,725,3,1314,0,13,1117,0,2607,121,1739,716,5,40,0,277,0,1255,0,0,1276,0,2861,0,2034,246,0,181
Tama,Total,2,101,1,113,0,2,48,0,147,25,74,15,0,11,0,114,0,142,0,0,26,0,157,12,61,14,0,3
Taylor,Total,0,24,0,29,0,0,12,0,13,0,11,7,0,1,0,22,0,30,0,0,12,0,14,0,11,6,0,1
Union,Total,0,50,0,87,0,1,39,0,86,12,45,26,0,2,0,44,0,92,0,0,41,0,103,0,48,7,0,4
Van Buren,Total,0,21,0,24,0,0,5,0,27,0,9,0,0,0,0,27,0,26,0,0,0,0,24,0,7,0,0,0
Wapello,Total,0,228,0,286,0,0,39,0,282,26,165,31,3,4,0,231,0,326,0,0,0,0,303,1,169,14,0,4
Warren,Total,4,436,4,894,0,5,379,41,444,104,467,87,8,18,0,382,0,1031,0,1,399,0,454,0,566,3,14,28
Washington,Total,0,119,0,147,0,3,138,0,231,19,182,31,0,11,0,106,0,159,0,1,162,0,240,0,202,0,3,1
Wayne,Total,0,19,0,25,0,0,37,0,25,1,23,3,0,2,0,16,0,26,0,0,41,0,25,0,26,0,0,1
Webster,Total,5,231,1,379,0,3,124,0,208,45,133,36,1,5,0,275,0,481,0,0,86,0,234,6,102,4,0,8
Winnebago,Total,0,41,0,96,0,1,55,0,42,1,54,30,0,5,0,24,0,105,0,0,58,0,33,0,69,29,0,6
Winneshiek,Total,1,137,0,395,0,3,319,0,330,12,291,151,0,5,0,34,0,471,0,2,405,0,367,0,290,49,0,1
Woodbury,Total,0,548,0,496,0,3,286,0,755,50,406,159,1,10,0,607,0,573,0,0,185,0,796,4,406,40,4,45
Worth,Total,0,33,2,53,0,0,50,0,40,12,38,27,0,1,0,35,0,52,0,0,69,0,41,0,35,23,0,1
Wright,Total,0,59,2,95,0,0,60,0,63,0,40,5,0,11,0,55,2,116,0,0,74,0,74,0,14,0,1,2
