,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Vote Increase
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk,WDM-312,0,0,0,0,0,0,43,0,0,0,0,18,0,0,0,65,0,108,0,0,0,0,74.0,0,92.0,0,0,0,278.0
Polk,DES MOINES-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,66,0,0,0,0,101.0,0,0.0,0,0,0,215.0
Polk,DES MOINES-62,0,131,0,172,0,0,140,0,129,0,212,0,0,0,0,138,0,194,0,0,149,0,134.0,0,226.0,0,0,0,57.0
Polk,URBANDALE-03,0,0,0,67,0,0,49,0,67,0,65,0,0,0,0,0,0,83,0,0,62,0,79.0,0,81.0,0,0,0,57.0
Dallas,WAUKEE 3,0,31,0,79,0,0,0,0,46,0,45,0,0,3,0,46,0,102,0,0,0,0,49.0,0,57.0,0,0,0,50.0
Johnson,IOWA CITY 23,1,73,1,115,0,2,90,0,172,21,251,24,0,4,0,0,0,147,0,0,80,0,192.0,0,299.0,0,0,83,47.0
Dallas,WAUKEE 5,0,42,0,95,0,0,14,0,24,0,49,26,1,0,0,51,0,117,0,0,14,0,24.0,0,65.0,26,0,0,46.0
Webster,Douglas,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,23,0,20,0,0,0,0,9.0,0,0.0,0,0,0,44.0
Polk,DES MOINES-55,0,47,0,166,0,3,53,0,191,0,171,0,0,0,0,0,0,245,0,0,0,0,218.0,0,208.0,0,0,0,40.0
Scott,(D63) City of Davenport,0,42,0,16,0,0,35,0,69,0,38,18,0,0,0,48,0,82,0,0,0,0,75.0,0,43.0,0,0,0,30.0
Warren,NORWALK 2/ GREENFIELD,0,0,0,35,0,0,23,0,25,5,17,10,0,0,0,12,0,55,0,0,34,0,32.0,0,0.0,0,0,6,24.0
Polk,ANKENY-14,0,36,0,92,0,0,19,0,75,5,83,0,0,1,0,0,0,149,0,0,0,0,83.0,0,100.0,0,0,0,21.0
Dallas,URBANDALE 13,0,58,0,99,0,0,51,0,54,0,52,0,0,0,0,58,0,110,0,0,57,0,58.0,0,52.0,0,0,0,21.0
Benton,Vinton 4,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,16,0,0,5,0,9.0,0,0.0,0,0,0,20.0
Polk,DES MOINES-07,0,0,0,47,0,0,0,0,91,0,41,0,0,0,0,0,0,53,0,0,0,0,96.0,0,49.0,0,0,0,19.0
Linn,Cedar Rapids 12,1,76,5,65,0,0,75,0,83,4,60,4,2,5,0,84,0,67,0,0,84,0,86.0,0,67.0,0,0,7,15.0
Linn,Cedar Rapids 28,0,40,0,29,0,0,0,0,49,0,24,11,0,0,0,41,0,43,0,0,0,0,53.0,0,31.0,0,0,0,15.0
Scott,(D11) City of Davenport,0,32,0,31,0,0,19,0,38,3,15,9,0,0,0,32,0,41,0,0,44,0,44.0,0,0.0,0,1,0,15.0
Dubuque,Dubuque_20,0,63,0,53,0,0,47,0,66,0,43,0,0,0,0,65,0,58,0,0,50,0,67.0,0,46.0,0,0,0,14.0
Polk,WDM-318,0,21,0,21,0,0,19,0,0,0,0,0,0,0,0,27,0,25,0,0,22,0,0.0,0,0.0,0,0,0,13.0
Black Hawk,WL 1-1,0,36,0,37,0,0,11,0,38,3,20,0,1,0,0,39,0,46,0,0,0,0,45.0,0,28.0,0,0,0,12.0
Polk,WDM-213,0,28,2,52,0,0,28,0,32,0,34,0,0,0,0,33,0,55,0,0,32,0,34.0,0,34.0,0,0,0,12.0
Story,Franklin Twp-Gilbert,0,49,0,82,0,0,64,0,56,7,47,12,1,0,0,49,0,87,0,0,68,0,61.0,0,64.0,0,0,0,11.0
Polk,WINDSOR HEIGHTS-02,0,39,0,59,0,0,48,0,40,0,57,0,0,0,0,40,0,61,0,0,48,0,43.0,0,62.0,0,0,0,11.0
Polk,DES MOINES-36,0,35,0,8,0,0,4,0,69,1,4,7,0,0,0,37,0,0,0,0,0,0,76.0,1,23.0,1,0,0,10.0
Woodbury,Sioux City 06,0,23,0,23,0,0,25,0,32,2,30,10,0,0,0,26,0,27,0,0,25,0,43.0,0,34.0,0,0,0,10.0
Black Hawk,WL 4-2,0,19,0,0,0,0,0,0,15,0,11,0,0,0,0,20,0,0,0,0,0,0,17.0,0,17.0,0,0,0,9.0
Monona,COOPER MAPLE MAPLETON,0,12,0,8,0,0,0,0,7,0,7,0,0,0,0,20,0,9,0,0,0,0,7.0,0,7.0,0,0,0,9.0
Clayton,CLAYTON-GARNAVILLO,0,12,0,5,0,0,7,0,7,4,0,0,0,0,0,12,0,8,0,0,8,0,7.0,0,0.0,0,8,0,8.0
Webster,Fort Dodge 09,0,7,0,13,0,0,2,0,11,0,7,4,0,0,0,9,0,16,0,0,0,0,13.0,0,13.0,0,0,0,7.0
Johnson,SOLON,0,0,0,45,0,1,43,0,33,3,49,1,0,0,0,0,0,47,0,0,44,0,34.0,0,56.0,0,0,0,6.0
Muscatine,Fruitland Two/Lake-Fruitl,0,0,0,13,0,0,6,0,0,0,5,0,0,0,0,0,0,16,0,0,7,0,0.0,0,7.0,0,0,0,6.0
Lucas,Chariton Precinct 2,0,12,0,12,0,0,0,0,16,0,10,0,1,0,0,17,0,13,0,0,0,0,17.0,0,10.0,0,0,0,6.0
Palo Alto,EM Ward 4/FV/FR/VN/pt. EM,0,10,1,16,0,0,6,0,9,1,6,1,0,0,0,13,0,20,0,0,0,0,12.0,0,10.0,0,0,0,5.0
Bremer,WAVERLY WARD I/E WASHINGTON TWP,0,26,0,50,0,0,25,0,29,2,31,0,0,1,0,26,0,50,0,0,32,0,29.0,0,31.0,0,0,0,4.0
Cherokee,#6 Cherokee Ward 2,0,6,0,8,0,0,1,0,17,0,0,0,0,0,0,8,0,9,0,0,0,0,19.0,0,0.0,0,0,0,4.0
Polk,DES MOINES-02,0,20,0,7,0,0,8,0,30,11,10,2,0,0,0,20,0,0,0,0,18,0,38.0,0,15.0,0,0,0,3.0
Polk,DES MOINES-17,0,20,0,12,0,0,10,0,35,3,11,0,0,0,0,27,0,0,0,0,0,0,40.0,0,27.0,0,0,0,3.0
Wright,Eagle Grove #4,0,4,0,4,0,0,6,0,5,0,3,0,0,1,0,4,0,8,0,0,7,0,6.0,0,0.0,0,0,1,3.0
Dubuque,Dubuque_14,0,3,0,16,0,2,6,0,39,8,12,2,0,0,0,0,0,30,0,0,0,0,42.0,0,19.0,0,0,0,3.0
Dubuque,Dubuque_07,0,56,0,51,0,0,25,0,45,0,22,0,0,0,0,57,0,63,0,0,0,0,46.0,0,36.0,0,0,0,3.0
Johnson,JW/MN/SW,0,30,0,40,0,0,29,0,35,3,30,3,0,2,0,31,0,40,0,0,31,0,37.0,0,30.0,3,0,3,3.0
Polk,DES MOINES-69,0,28,0,33,0,0,12,0,52,0,22,6,0,2,0,33,0,50,0,0,0,0,74.0,0,0.0,0,0,0,2.0
Pottawattamie,Council Bluff 08,0,14,0,27,0,1,30,0,36,0,38,7,0,0,0,0,0,37,0,0,34,0,38.0,0,38.0,0,0,8,2.0
Polk,DES MOINES-05,0,0,0,13,0,0,8,0,32,2,11,6,0,0,0,0,0,15,0,0,12,0,35.0,0,12.0,0,0,0,2.0
Linn,Cedar Rapids 24,3,77,0,72,0,0,93,0,67,0,115,9,0,0,0,82,0,72,0,0,99,0,69.0,0,116.0,0,0,0,2.0
Black Hawk,WL 1-3,0,10,0,8,0,1,7,0,43,0,16,0,0,0,0,17,0,0,0,0,0,0,43.0,0,27.0,0,0,0,2.0
Henry,Southeast Precinct,0,17,0,28,0,1,4,0,37,4,4,14,0,0,0,21,0,31,0,0,0,0,41.0,0,0.0,18,0,0,2.0
Scott,(B23) City of Bettendorf,0,4,0,3,0,0,8,0,6,4,7,0,0,0,0,4,0,3,0,0,8,0,6.0,4,7.0,2,0,0,2.0
Jasper,Newton/Sherman,0,19,0,37,0,0,10,0,19,4,16,6,0,0,0,23,0,45,0,0,0,0,25.0,0,20.0,0,0,0,2.0
Black Hawk,CF W3 P1,0,32,0,54,0,0,51,0,37,0,23,9,0,0,0,33,0,63,0,0,61,0,51.0,0,0.0,0,0,0,2.0
Boone,Boone 4th Ward,0,22,0,29,0,0,11,0,41,2,25,8,0,1,0,27,0,36,0,0,0,0,47.0,0,31.0,0,0,0,2.0
Buchanan,Independence 5th Ward,0,17,0,14,0,0,0,0,10,5,4,0,0,0,0,17,0,14,0,0,0,0,11.0,9,0.0,0,0,0,1.0
Ringgold,Clinton,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0.0,0,0.0,0,0,0,1.0
Ringgold,Athens,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0.0,0,0.0,0,0,0,1.0
Scott,(D24) City of Davenport,0,23,0,24,0,0,14,0,23,14,15,11,0,1,0,28,0,33,0,0,19,0,31.0,0,15.0,0,0,0,1.0
Linn,Cedar Rapids 25,0,69,2,110,0,0,78,0,78,0,82,13,1,2,0,73,0,115,0,0,80,0,80.0,0,86.0,0,0,2,1.0
Sioux,HW/BC/LG/WA/EG S,0,14,0,24,0,0,1,0,44,0,6,2,0,0,0,18,0,28,0,0,0,0,45.0,0,0.0,0,0,1,1.0
Story,Ames 4-1,1,1,0,103,0,1,3,0,151,4,92,70,0,0,0,0,0,106,0,0,0,0,152.0,0,96.0,73,0,0,1.0
Black Hawk,Washington Janesville,0,6,0,6,0,0,0,0,6,3,4,0,0,0,0,0,0,14,0,0,0,0,12.0,0,0.0,0,0,0,1.0
Wapello,Washington/Eldon,0,7,0,15,0,0,0,0,3,0,0,0,0,0,0,7,0,15,0,0,0,0,4.0,0,0.0,0,0,0,1.0
Black Hawk,WL 3-4,0,7,0,5,0,0,0,0,19,3,7,1,0,0,0,14,0,0,0,0,0,0,21.0,0,8.0,0,0,0,1.0
Black Hawk,CF W4 P3,0,4,0,70,0,0,8,0,115,1,76,8,0,0,0,0,0,78,0,0,0,0,122.0,0,83.0,0,0,0,1.0
Woodbury,44 Cushing/Rock,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,1.0,0,1.0,0,0,0,1.0
Black Hawk,CF W3 P2,0,45,0,63,0,0,54,0,60,3,44,7,0,0,0,46,0,66,0,0,58,0,61.0,0,46.0,0,0,0,1.0
Pottawattamie,Crescent,0,34,0,25,0,0,21,0,15,7,14,6,0,0,0,34,0,32,0,0,25,0,23.0,0,7.0,2,0,0,1.0
Polk,WDM-113,0,15,1,56,0,1,10,0,89,1,38,9,0,0,0,0,0,59,0,0,0,0,94.0,0,51.0,0,0,17,1.0
Buena Vista,TRUESDALE WASHINGTON GRANT,0,6,0,3,0,0,4,0,5,0,3,0,0,0,0,8,0,2,0,0,6,0,3.0,0,3.0,0,0,0,1.0
Davis,Bloomfield Ward 3,0,4,0,2,0,0,4,0,6,0,2,2,0,0,0,5,0,3,0,0,5,0,6.0,0,1.0,1,0,0,1.0
Linn,Cedar Rapids 31,0,50,0,74,0,1,38,0,52,3,53,5,0,5,0,62,0,88,0,0,0,0,67.0,0,65.0,0,0,0,1.0
Mahaska,CEDAR - HARRISON - WHITE OAK,0,10,0,0,0,0,9,0,15,0,5,8,0,0,0,10,0,0,0,0,14,0,16.0,0,0.0,8,0,0,1.0
Jasper,Colfax Ward 2,1,5,0,17,0,0,0,0,13,2,9,1,0,1,0,10,0,18,0,0,0,0,13.0,0,9.0,0,0,0,1.0
Polk,ALTOONA-02,0,32,0,39,0,0,29,0,59,0,34,7,0,0,0,32,0,42,0,0,31,0,61.0,0,35.0,0,0,0,1.0
Fayette,OELWEIN - WARD 1,0,18,0,22,0,0,3,0,6,5,13,2,0,0,0,20,0,30,0,0,0,0,0.0,0,20.0,0,0,0,1.0
Dubuque,Dubuque_43,0,38,0,42,0,0,20,0,23,0,28,1,0,0,0,38,0,42,0,0,20,0,23.0,1,28.0,1,0,0,1.0
Clay,Waterford-Lone Tree,0,6,0,2,0,0,2,0,0,0,2,0,0,0,0,6,0,2,0,0,2,0,0.0,0,3.0,0,0,0,1.0
CD2 Satellite,"Iowa City, IA - Walden Place Retirement Community",0,7,0,0,0,0,4,0,0,0,4,0,0,6,0,7,0,0,0,0,4,0,0.0,0,5.0,0,0,6,1.0
Cherokee,#7 Cherokee Ward 3,0,6,0,8,0,0,1,0,17,0,0,1,0,2,0,8,0,9,0,0,0,0,19.0,0,0.0,0,0,0,1.0
Cerro Gordo,Mason City W-2 P-1,0,14,0,14,0,0,7,0,28,0,8,7,0,0,0,23,0,23,0,0,0,0,33.0,0,0.0,0,0,0,1.0
Polk,JOHNSTON-05,0,75,0,148,0,0,70,0,96,13,79,3,0,0,0,79,0,152,0,0,75,0,99.0,0,80.0,0,0,0,1.0
Cerro Gordo,Clear Lake - Ward 1,0,15,0,22,0,0,23,0,13,7,12,6,0,0,0,15,0,27,0,0,27,0,15.0,0,15.0,0,0,0,1.0
Cedar,TIPTON 1,0,6,0,7,0,0,6,0,9,2,4,0,0,0,0,6,0,9,0,0,7,0,13.0,0,0.0,0,0,0,1.0
Cass,Atlantic 5,0,11,0,10,0,0,9,0,4,2,12,0,0,0,0,13,0,11,0,0,10,0,0.0,0,15.0,0,0,0,1.0
Linn,Hiawatha 1,0,37,0,29,0,0,42,0,46,8,25,2,0,0,0,40,0,35,0,0,55,0,55.0,0,0.0,0,5,0,1.0
